TimeStep,Slice,Throughput_Mbps,Avg_SNR_dB,Avg_Delay_ms,Users,PRB_num,DL_Buffer,Scheduling,TxPower,ant_tilt_deg,user_throughput,CIO
1,URLLC,16.6,12.5112280083281,0.667742758377999,5,159,18,WF,34,8,3.32,-1
2,URLLC,17.4,10.8894795436232,0.392651152422223,5,159,17.4,RR,34,8,3.48,-1
3,URLLC,25,12.7564806296185,0.373493139878194,5,159,25,RR,34,8,5,-1
4,URLLC,19,12.9139845661968,0.363212950022044,5,159,19,RR,34,8,3.8,-1
5,URLLC,20,14.3837137808589,0.340200396508889,5,159,20,RR,34,8,4,-1
6,URLLC,17,12.4161000443829,0.326842620456516,5,159,17,RR,34,8,3.4,-1
7,URLLC,13,13.4437346643209,0.311862249442958,5,159,13,RR,34,8,2.6,-1
8,URLLC,20,12.4449996984647,0.379212382984073,5,159,20,RR,34,8,4,-1
9,URLLC,21,12.6813846349761,0.388874249194371,5,159,21,RR,34,8,4.2,-1
10,URLLC,19,14.0219969713649,0.353988196642209,5,159,19,RR,34,8,3.8,-1
11,URLLC,28,10.6573829789837,0.416550251362532,5,159,28,RR,34,8,5.6,-1
12,URLLC,23,12.0631012898467,0.354466327966381,5,159,23,RR,34,8,4.6,-1
13,URLLC,25,11.5656450995222,0.466367516566675,5,159,25,RR,34,8,5,-1
14,URLLC,17,13.2742513465864,0.396402307632663,5,159,17,RR,34,8,3.4,-1
15,URLLC,23,12.494663014639,0.449911850326077,5,159,23,RR,34,8,4.6,-1
16,URLLC,16,8.90898882146234,0.371607409688606,5,159,16,RR,34,8,3.2,-1
17,URLLC,22,13.480853171208,0.36283568973894,5,159,22,RR,34,8,4.4,-1
18,URLLC,25,12.5907611280865,0.3895073986161,5,159,25,RR,34,8,5,-1
19,URLLC,29,11.64696004542,0.402168742393848,5,159,29,RR,34,8,5.8,-1
20,URLLC,22,13.1731675579255,0.394831747923307,5,159,22,RR,34,8,4.4,-1
21,URLLC,34,10.9161612408416,0.583633868378419,5,114,34,RR,32,10,6.8,4
22,URLLC,25,11.599269313945,0.452735690635698,5,114,25,RR,32,10,5,4
23,URLLC,20,11.1260123356383,0.482018776480804,5,114,20,RR,32,10,4,4
24,URLLC,27,9.03624544424645,0.528525813876495,5,114,27,RR,32,10,5.4,4
25,URLLC,23.7946474410631,7.45495004408122,0.83603920599299,6,114,27.2053525589369,RR,32,10,3.96577457351052,4
26,URLLC,27.6542366145817,7.70127375507931,0.855530004000717,6,114,32.4107051178738,RR,32,10,4.60903943576361,4
27,URLLC,29,9.12248213849337,0.854264798314872,6,114,32.7564685032921,RR,32,10,4.83333333333333,4
28,URLLC,22.8271183072908,8.86506237922428,0.678839701002017,6,114,25.7564685032921,RR,32,10,3.80451971788181,4
29,URLLC,42.2115159410967,9.24576405482481,0.899866253492091,6,114,46.9293501960013,RR,32,10,7.03525265684946,4
30,URLLC,27.9354527397877,9.91366639005573,1.02438569795439,6,114,35.7178342549045,RR,32,10,4.65590878996462,4
31,URLLC,20.2113673672259,7.42798522485413,1.58570971437967,6,114,33.7823815151168,RR,32,10,3.36856122787098,4
32,URLLC,37.6542366145817,7.60112407620541,1.17471396936641,6,114,48,RR,32,10,6.27570610243028,4
33,URLLC,28.5443976338059,8.46934187866614,0.7082485671021,6,114,32.1728816927092,RR,32,10,4.75739960563432,4
34,URLLC,16.3069686808845,7.20431313889767,0.812145553833961,6,114,20.6284840589033,RR,32,10,2.71782811348074,4
35,URLLC,52.2357639484963,10.6973024118387,0.963301863310737,6,114,59,RR,32,10,8.70596065808271,4
36,URLLC,32.2584726660854,7.99107730099512,0.971271688090993,6,114,38.7642360515037,RR,32,10,5.37641211101423,4
37,URLLC,34.0128816927092,7.80429505425866,0.806761996159642,6,114,39.5057633854183,RR,32,10,5.66881361545153,4
38,URLLC,22.8271183072908,7.79868808417573,0.938352110091182,6,114,33.4928816927092,RR,32,10,3.80451971788181,4
39,URLLC,37.8271183072908,7.93486847304019,1.11555204098042,6,114,49,RR,32,10,6.30451971788181,4
40,URLLC,25.3069686808845,9.31790651001444,1.0744306128659,6,114,34,RR,32,10,4.21782811348074,4
41,URLLC,28,10.9777994465252,0.544441576586591,6,154,29,PF,35,17,4.66666666666667,0
42,URLLC,27.3514714569616,11.7181070341645,0.628632398749033,6,154,31,PF,35,17,4.55857857616027,0
43,URLLC,41.6485285430384,11.3818108257388,0.561883755721253,6,154,41.6485285430384,PF,35,17,6.94142142383973,0
44,URLLC,34,11.1259032836268,0.485668767868237,6,154,34,PF,35,17,5.66666666666667,0
45,URLLC,25,14.1144481526144,0.360264932648254,6,154,25,PF,35,17,4.16666666666667,0
46,URLLC,31,11.6701815099397,0.54338118859276,6,154,31,PF,35,17,5.16666666666667,0
47,URLLC,45,9.7639122747601,0.617829043232164,6,154,45,PF,35,17,7.5,0
48,URLLC,29,13.0241461291914,0.45061369494107,6,154,29,PF,35,17,4.83333333333333,0
49,URLLC,25,12.4877186234455,0.398789668297416,6,154,25,PF,35,17,4.16666666666667,0
50,URLLC,22.3514714569616,11.6429999306992,0.559452199269813,6,154,24,PF,35,17,3.72524524282694,0
51,URLLC,28.6485285430384,13.5952629275512,0.345425914454495,6,154,28.6485285430384,PF,35,17,4.77475475717306,0
52,URLLC,37,12.8044710555835,0.497712859203619,6,154,37,PF,35,17,6.16666666666667,0
53,URLLC,36,10.9339912292289,0.520457366728905,6,154,36,PF,35,17,6,0
54,URLLC,39,12.7815785116555,0.501217159187336,6,154,39,PF,35,17,6.5,0
55,URLLC,39.3512745801111,10.0297129933303,0.683089927811356,6,154,40,PF,35,17,6.55854576335185,0
56,URLLC,21.3512745801111,9.98539384271861,0.531092538281455,6,154,21.6487254198889,PF,35,17,3.55854576335185,0
57,URLLC,23.2974508397778,12.9985380855259,0.377178468334185,6,154,23.2974508397778,PF,35,17,3.88290847329629,0
58,URLLC,48,12.2701834714809,0.496789844653481,6,154,48,PF,35,17,8,0
59,URLLC,35,10.801044166779,0.473182945469264,6,154,35,PF,35,17,5.83333333333333,0
60,URLLC,39,9.52568569471983,0.551549009895037,6,154,39,PF,35,17,6.5,0
61,URLLC,31.1458163425467,7.21076513356137,1.70100465700902,6,92,41,RR,33,9,5.19096939042446,-4
62,URLLC,37.2107647480667,10.5391283102723,1.23489429852233,6,92,45.8541836574532,RR,33,9,6.20179412467778,-4
63,URLLC,35,11.091836256406,0.599319036070333,6,92,35,RR,33,9,5.83333333333333,-4
64,URLLC,26.4,9.49521154446007,0.613090738145265,6,92,27,RR,33,9,4.4,-4
65,URLLC,33.6,11.6250254067557,0.657590729615515,6,92,33.6,RR,33,9,5.6,-4
66,URLLC,20.6107647480667,9.69183916977241,0.616321608979244,6,92,21,RR,33,9,3.43512745801111,-4
67,URLLC,24.7892352519333,9.68940558615916,0.758994889688465,6,92,29.3892352519333,RR,33,9,4.13153920865555,-4
68,URLLC,31.4,10.2413833604984,0.768649005689164,6,92,32.6,RR,33,9,5.23333333333333,-4
69,URLLC,27.2,9.75053441181012,0.604715022324068,6,92,27.2,RR,33,9,4.53333333333333,-4
70,URLLC,26,8.85591991369856,0.633222371798773,6,92,26,RR,33,9,4.33333333333333,-4
71,URLLC,26,9.4005156879386,0.592293245448139,6,92,26,RR,33,9,4.33333333333333,-4
72,URLLC,34.810882874177,10.8081573673386,0.89688119897484,6,92,40,RR,33,9,5.80181381236283,-4
73,URLLC,26.6107647480667,9.64212879269882,1.22573493903498,6,92,35.189117125823,RR,33,9,4.43512745801111,-4
74,URLLC,25.5446868302615,6.67180903369908,2.51814930406008,6,92,38,RR,33,9,4.25744780504358,-4
75,URLLC,28.4123176575216,9.79910636315382,1.25275558125861,6,92,40.6014347833447,RR,33,9,4.73538627625361,-4
76,URLLC,36,14.1049728578981,0.656596086283632,5,92,36,RR,33,9,7.2,-4
77,URLLC,31,11.5559631482824,0.574375715954301,5,92,31,RR,33,9,6.2,-4
78,URLLC,22,10.9601695801416,0.471311843063083,5,92,22,RR,33,9,4.4,-4
79,URLLC,25,11.0133290307367,0.572942487062308,5,92,25,RR,33,9,5,-4
80,URLLC,23,12.526888081484,0.479205730428345,5,92,23,RR,33,9,4.6,-4
81,URLLC,17,7.72139198234507,0.406161261903815,5,166,17,RR,29,4,3.4,-1
82,URLLC,13,7.79643872891655,0.388140258978488,5,166,13,RR,29,4,2.6,-1
83,URLLC,19,7.67656562040441,0.41050033849802,5,166,19,RR,29,4,3.8,-1
84,URLLC,13,9.8102348744571,0.39180127669538,5,166,13,RR,29,4,2.6,-1
85,URLLC,9,7.99251690377988,0.237047965353618,5,166,9,RR,29,4,1.8,-1
86,URLLC,9,6.75432617536844,0.415197736435712,5,166,9,RR,29,4,1.8,-1
87,URLLC,15,7.64218426144765,0.381169635709826,5,166,15,RR,29,4,3,-1
88,URLLC,19,7.19229647196006,0.480999381059403,5,166,19,RR,29,4,3.8,-1
89,URLLC,19,7.4448316840395,0.355963257804331,5,166,19,RR,29,4,3.8,-1
90,URLLC,18,8.13489802124286,0.371443745137524,5,166,18,RR,29,4,3.6,-1
91,URLLC,9,6.34047357520909,0.40581231375705,5,166,9,RR,29,4,1.8,-1
92,URLLC,17,10.4648711756221,0.324854455368036,5,166,17,RR,29,4,3.4,-1
93,URLLC,17,5.76335101937717,0.530430091791567,5,166,17,RR,29,4,3.4,-1
94,URLLC,16,6.43403534136391,0.443894323699299,5,166,16,RR,29,4,3.2,-1
95,URLLC,10,6.59048458808139,0.363535014698833,5,166,10,RR,29,4,2,-1
96,URLLC,22,6.01548588694636,0.583561296116337,5,166,22,RR,29,4,4.4,-1
97,URLLC,14,6.35822165150383,0.400695479319814,5,166,14,RR,29,4,2.8,-1
98,URLLC,19.7436824457467,7.46968848075021,0.565255163308611,5,166,21,RR,29,4,3.94873648914934,-1
99,URLLC,15.8407959536028,6.78176936031717,0.571477422066331,5,166,18.2563175542533,RR,29,4,3.16815919072057,-1
100,URLLC,22.4155216006505,5.71572998185917,0.540146086164329,5,166,22.4155216006505,RR,29,4,4.48310432013009,-1
101,URLLC,11,8.48481150581208,0.337908513832958,5,170,11,PF,28,7,2.2,-4
102,URLLC,8,6.23333009260872,0.440262995662649,5,170,8,PF,28,7,1.6,-4
103,URLLC,11,4.19471810221382,0.398385262219717,5,170,11,PF,28,7,2.2,-4
104,URLLC,27,9.37822044304554,0.524358592501443,5,170,27,PF,28,7,5.4,-4
105,URLLC,13,6.47594868506332,0.427677165468285,5,170,13,PF,28,7,2.6,-4
106,URLLC,13,7.04604626363753,0.411850403232194,5,170,13,PF,28,7,2.6,-4
107,URLLC,12,6.09811604529062,0.356345677995086,5,170,12,PF,28,7,2.4,-4
