TimeStep,Slice,Throughput_Mbps,Avg_SNR_dB,Avg_Delay_ms,Users,PRB_num,DL_Buffer,Scheduling,TxPower,ant_tilt_deg,user_throughput,CIO
1,eMBB,216.394911526725,11.5668347382975,44.2527448639403,11,80,426.198011614857,WF,31,6,19.6722646842477,-1
2,eMBB,215.686182524048,10.96806563782,53.7942276126815,11,80,636.201935222658,RR,31,6,19.6078347749135,-1
3,eMBB,226.081291957643,11.8124982927333,46.125250632882,11,80,786.331628448297,RR,31,6,20.5528447234221,-1
4,eMBB,216.828337886325,10.7764282316036,59.405301118383,11,80,781.769726885188,RR,31,6,19.711667080575,-1
5,eMBB,234.472339945335,12.2423610889743,44.0425097664918,11,80,737.318778267171,RR,31,6,21.3156672677577,-1
6,eMBB,183.029201476022,9.42477726701363,79.2209353687224,11,80,745.609783957935,RR,31,6,16.639018316002,-1
7,eMBB,207.448945577512,11.8228033103922,47.4727694566627,11,80,790.36428631376,RR,31,6,18.8589950525011,-1
8,eMBB,205.368057817752,10.0663857449659,133.702709068362,11,80,833.541214095111,RR,31,6,18.6698234379774,-1
9,eMBB,209.601148186454,10.5594251242723,77.1349038417073,11,80,831.335895645023,RR,31,6,19.0546498351322,-1
10,eMBB,220.546869730038,11.8055915320334,46.556432678578,11,80,788.007768697452,RR,31,6,20.0497154300035,-1
11,eMBB,199.666743504835,10.4484012596444,47.9253953043118,11,80,722.941918912407,RR,31,6,18.1515221368032,-1
12,eMBB,212.036636515217,10.8044038172554,92.7119921940493,11,80,788.631532467999,RR,31,6,19.2760578650197,-1
13,eMBB,214.969021707738,10.8735469468298,79.2742747437166,11,80,809.910385978703,RR,31,6,19.5426383370671,-1
14,eMBB,210.67993708971,11.4773987045343,58.6501731208219,11,80,788.250604135679,RR,31,6,19.15272155361,-1
15,eMBB,186.965175721299,10.0947463545825,59.118147222826,11,80,820.524508388308,RR,31,6,16.9968341564817,-1
16,eMBB,202.171370415943,10.3166793297541,63.8060590319136,11,80,793.614660587878,RR,31,6,18.3792154923584,-1
17,eMBB,193.960202553058,10.3150272625771,69.4525616760205,11,80,749.533618307009,RR,31,6,17.6327456866417,-1
18,eMBB,206.743122308874,10.7452459699324,57.43673481456,11,80,756.488912009519,RR,31,6,18.7948293008067,-1
19,eMBB,219.80361631243,12.2806645053518,48.2942525215982,11,80,758.93950100683,RR,31,6,19.9821469374936,-1
20,eMBB,208.285154026708,11.0942983109463,52.1149593145924,11,80,735.147566754985,RR,31,6,18.935014002428,-1
21,eMBB,387.231587121599,14.0726715550054,27.7709946667371,11,185,594.249049617841,WF,33,9,35.202871556509,2
22,eMBB,251.598666286066,12.3477456378692,17.0223106367544,11,185,369.069725751021,WF,33,9,22.872606026006,2
23,eMBB,254.041260132209,14.2499999906608,14.0051274119376,11,185,320.138706892241,WF,33,9,23.094660012019,2
24,eMBB,212.870737785645,13.4917945199529,12.7717010411695,11,185,301.412285530303,WF,33,9,19.3518852532405,2
25,eMBB,233.882833553562,13.0119463047111,15.4736272521805,11,185,328.563592414607,WF,33,9,21.2620757775966,2
26,eMBB,221.687660769681,13.1872777372154,15.349885957631,11,185,337.833751142423,WF,33,9,20.1534237063347,2
27,eMBB,244.716972818618,12.7974807026936,14.9232601734863,11,185,351.446085968486,WF,33,9,22.2469975289653,2
28,eMBB,248.404186372934,14.774834095809,10.6444370084377,11,185,324.389223806548,WF,33,9,22.5821987611758,2
29,eMBB,269.094832105701,12.9499335759259,13.0377872312279,11,185,341.356682972282,WF,33,9,24.4631665550638,2
30,eMBB,237.769967959009,13.340714784187,29.9406380977433,11,185,340.495973789367,WF,33,9,21.6154516326372,2
31,eMBB,247.429629817347,13.8441307550012,19.5925787002739,11,185,322.021883593838,WF,33,9,22.4936027106679,2
32,eMBB,237.510664492474,12.772217847865,10.3932639114885,11,185,302.403135489587,WF,33,9,21.5918785902249,2
33,eMBB,232.206971272598,12.9020791104659,21.967885246409,11,185,322.677272586759,WF,33,9,21.1097246611453,2
34,eMBB,287.138499640145,13.5946108481669,8.26641451207424,11,185,332.703368786927,WF,33,9,26.1034999672859,2
35,eMBB,246.45816383641,14.1348997451715,10.1325081793504,11,185,312.441694610284,WF,33,9,22.4052876214918,2
36,eMBB,180.511223740234,11.9768100223086,40.9384716525906,11,185,304.948571438604,WF,33,9,16.4101112491122,2
37,eMBB,251.816666921579,11.8896491765199,62.3036693109839,12,185,391.593179300434,WF,33,9,20.9847222434649,2
38,eMBB,234.447202860956,11.8849842640742,128.435367021682,12,185,376.956829706655,WF,33,9,19.5372669050797,2
39,eMBB,232.347762737293,12.2288996772513,25.6576487951338,12,185,369.171732389636,WF,33,9,19.3623135614411,2
40,eMBB,254.167231718806,12.416889329919,154.426938800628,12,185,376.129610093211,WF,33,9,21.1806026432338,2
41,eMBB,291.315931243132,11.2174788563189,52.3825904716857,12,103,907.965738701598,PF,33,11,24.2763276035943,0
42,eMBB,321.93653462698,12.9853234777795,84.770856236314,12,103,1242.70708601549,PF,33,11,26.8280445522483,0
43,eMBB,321.955066936611,11.4657577596756,137.988519191891,12,103,1288.01017756582,PF,33,11,26.8295889113843,0
44,eMBB,294.147671538536,11.9210746623537,78.7540435891433,12,103,1313.71560203544,PF,33,11,24.5123059615447,0
45,eMBB,282.902713571537,11.75541148176,82.0914565391879,12,103,1381.73741020954,PF,33,11,23.5752261309614,0
46,eMBB,277.380517880529,11.1670519795879,106.275494204347,12,103,1484.33495542304,PF,33,11,23.1150431567107,0
47,eMBB,307.639446887773,12.8703911406937,140.681532204122,12,103,1516.20682023116,PF,33,11,25.6366205739811,0
48,eMBB,317.578671981514,11.7678442985763,142.437870683385,12,103,1511.49759832344,PF,33,11,26.4648893317928,0
49,eMBB,298.902523897965,13.2454003677475,67.0905618810352,12,103,1457.93074411494,PF,33,11,24.9085436581638,0
50,eMBB,317.604326554548,12.3569207492205,99.7720163049362,12,103,1438.98134310116,PF,33,11,26.467027212879,0
51,eMBB,265.46650566366,10.6898304996067,80.6036874791897,12,103,1452.58377077823,PF,33,11,22.122208805305,0
52,eMBB,295.902574615912,11.6261631094705,133.52185805608,12,103,1502.0110357126,PF,33,11,24.6585478846593,0
53,eMBB,302.968487488813,11.8222837870593,126.121097142756,12,103,1512.69284591103,PF,33,11,25.2473739574011,0
54,eMBB,287.460832229292,11.6814458333637,137.213792236056,12,103,1475.24706088638,PF,33,11,23.955069352441,0
55,eMBB,307.697704259811,12.1091661167973,150.966177092041,12,103,1418.98259398395,PF,33,11,25.6414753549843,0
56,eMBB,271.180036130766,10.6481173130197,92.9737797598075,12,103,1358.13596262094,PF,33,11,22.5983363442305,0
57,eMBB,291.451840160665,12.1827843321137,78.8450633576335,12,103,1375.34770768274,PF,33,11,24.287653346722,0
58,eMBB,289.085130608247,11.0227751112955,102.988325006205,12,103,1386.56703302529,PF,33,11,24.0904275506872,0
59,eMBB,287.60704107615,12.7493802157045,78.0862505994645,12,103,1415.14969225843,PF,33,11,23.9672534230125,0
60,eMBB,292.835071413884,11.3117578044649,114.043323081848,12,103,1451.51929540525,PF,33,11,24.4029226178237,0
61,eMBB,122.10746196122,4.16554799052659,382.087642586197,12,79,1270.55525068299,RR,26,8,10.1756218301017,0
62,eMBB,125.733065663645,4.94788225934354,193.120143045754,12,79,1110.17319571387,RR,26,8,10.4777554719705,0
63,eMBB,143.049280807632,6.2956118177016,194.765740159772,12,79,1049.36116229707,RR,26,8,11.920773400636,0
64,eMBB,105.237553742423,3.03332973123601,267.704647445982,12,79,1079.85691338477,RR,26,8,8.76979614520194,0
65,eMBB,140.814338015262,6.94428922472234,182.222644134697,11,79,983.517822703895,RR,26,8,12.8013034559329,0
66,eMBB,149.535210097941,5.6255889762043,224.109256421163,11,79,946.327077870952,RR,26,8,13.5941100089037,0
67,eMBB,141.768049837043,5.79484391680522,145.172895595959,11,79,966.232437323174,RR,26,8,12.8880045306403,0
68,eMBB,135.537636452203,4.89857519824073,250.377981360761,11,79,957.437124383011,RR,26,8,12.3216033138366,0
69,eMBB,135.867009513408,5.41000729940118,137.085847216339,11,79,921.507410626153,RR,26,8,12.3515463194007,0
70,eMBB,148.485138645965,6.63095052868284,108.342756542573,11,79,907.420343542026,RR,26,8,13.498648967815,0
71,eMBB,139.824581818962,5.59062049451225,131.927089314549,11,79,949.5307929763,RR,26,8,12.7113256199056,0
72,eMBB,164.130063535718,7.35766473898904,112.55852423096,11,79,964.48755795562,RR,26,8,14.9209148668834,0
73,eMBB,124.840800923103,4.3189626016945,188.064470126721,11,79,932.249334055619,RR,26,8,11.3491637202821,0
74,eMBB,167.045810071521,7.68048933962574,106.676713789188,11,79,1001.88074797563,RR,26,8,15.1859827337746,0
75,eMBB,125.032942776855,3.81108410903201,286.593884591849,11,79,1004.36659011456,RR,26,8,11.3666311615323,0
76,eMBB,146.711727405159,5.95466431936276,131.236753126534,11,79,944.822776498773,RR,26,8,13.3374297641053,0
77,eMBB,120.097314814024,4.16623724312337,175.071444274619,11,79,966.320702991989,RR,26,8,10.9179377103658,0
78,eMBB,135.636776014149,5.17499358108133,157.196936336635,11,79,967.965609837751,RR,26,8,12.3306160012862,0
79,eMBB,135.121443575911,4.50794368426552,240.226839945889,11,79,980.330758749032,RR,26,8,12.2837675978101,0
80,eMBB,145.728471995,5.7958975145489,152.859544444792,11,79,935.257745436102,RR,26,8,13.2480429086364,0
81,eMBB,526.073797544995,10.1289185428754,75.0697797913958,11,176,1131.14938397858,WF,31,20,47.8248906859087,2
82,eMBB,462.064028792138,12.2902605700196,77.3847595938432,11,176,1145.77302601784,WF,31,20,42.0058207992852,2
83,eMBB,377.905210176384,10.9930781403178,397.555151580327,11,176,1132.98012154496,WF,31,20,34.355019106944,2
84,eMBB,374.861226508888,10.7065504836851,292.49851696257,11,176,1113.7750053798,WF,31,20,34.0782933189898,2
85,eMBB,426.326503367518,10.1647144773094,64.3440543315842,11,176,1150.94053054516,WF,31,20,38.7569548515926,2
86,eMBB,419.343966915667,9.50333631231625,59.328623030759,11,176,1218.58920218911,WF,31,20,38.1221788105152,2
87,eMBB,359.234956649476,10.9372066955031,57.6451679669231,11,176,1108.89284997782,WF,31,20,32.6577233317705,2
88,eMBB,403.626731553388,10.0556801039596,47.7940862825782,11,176,1270.55844962475,WF,31,20,36.6933392321262,2
89,eMBB,376.657035955568,8.47425360054269,187.126844051864,11,176,1280.27345694523,WF,31,20,34.2415487232335,2
90,eMBB,431.04446674563,12.6961153984495,51.0186794119074,11,176,1163.15585246074,WF,31,20,39.1858606132391,2
91,eMBB,393.010161678629,10.7332410226103,112.496666594972,11,176,1143.18599642603,WF,31,20,35.728196516239,2
92,eMBB,386.961024389047,11.5968296369959,125.937257888936,11,176,1047.7607459292,WF,31,20,35.1782749444588,2
93,eMBB,343.020839008062,11.1067084437484,65.2065252858874,11,176,1037.55221081876,WF,31,20,31.1837126370965,2
94,eMBB,405.739824416551,10.9628504283052,111.54781925655,11,176,1148.80618072757,WF,31,20,36.8854385833228,2
95,eMBB,374.834507141715,12.1311383856435,71.9946938635843,11,176,1130.20173490066,WF,31,20,34.0758642856104,2
96,eMBB,363.227243161771,11.4111235001455,69.5457615083115,11,176,1161.13788078067,WF,31,20,33.0206584692519,2
97,eMBB,427.857602036551,11.8494632114608,65.8191467203614,11,176,1211.25772409286,WF,31,20,38.8961456396865,2
98,eMBB,377.422707620852,11.2475275329984,71.9141549127286,11,176,1134.01422921851,WF,31,20,34.3111552382592,2
99,eMBB,426.619020041255,11.0605170789269,107.265899017136,11,176,1147.65247975805,WF,31,20,38.7835472764778,2
100,eMBB,402.318889959099,11.0001624561027,71.614183954754,11,176,1155.66397672536,WF,31,20,36.5744445417362,2
101,eMBB,290.641357549345,6.9515147357059,115.433567897733,11,164,1189.43152611418,PF,26,4,26.421941595395,-3
102,eMBB,275.732602162773,5.66632555283074,145.589917361844,11,164,1290.06725925371,PF,26,4,25.0666001966158,-3
103,eMBB,280.475655228843,6.27944405131442,79.4223180452794,11,164,1231.27178199986,PF,26,4,25.4977868389857,-3
104,eMBB,313.856973178675,5.78798391415011,144.284334956002,11,164,1224.28903147049,PF,26,4,28.5324521071523,-3
105,eMBB,249.289652127281,5.50461354041569,115.687914127089,11,164,1237.71119059747,PF,26,4,22.6626956479347,-3
106,eMBB,315.464543542932,7.58472996293318,123.126835943655,11,164,1270.79279505574,PF,26,4,28.6785948675392,-3
107,eMBB,289.949531723555,4.73694733645162,204.225170526715,11,164,1212.21224475547,PF,26,4,26.359048338505,-3
108,eMBB,256.15015497432,5.49533083812161,100.304453908263,11,164,1131.60781481667,PF,26,4,23.2863777249382,-3
109,eMBB,324.720412553924,6.4556576223125,122.898548156048,11,164,1160.42421794492,PF,26,4,29.5200375049021,-3
110,eMBB,316.571377354388,5.15534521375993,199.938426587715,11,164,1178.79956009302,PF,26,4,28.7792161231262,-3
111,eMBB,278.226021771952,6.09730600049582,98.0242402388899,11,164,1216.93911697144,PF,26,4,25.293274706541,-3
112,eMBB,262.966410168064,5.43030554377678,128.801230499466,11,164,1238.20167796042,PF,26,4,23.9060372880058,-3
113,eMBB,262.069618242607,6.37917796182691,157.160400452175,11,164,1242.72999060992,PF,26,4,23.8245107493279,-3
114,eMBB,274.407337898214,4.30819841343987,219.60237342082,11,164,1297.42847376122,PF,26,4,24.9461216271103,-3
115,eMBB,336.880286342584,7.71887804313191,166.186634295601,11,164,1324.27809965186,PF,26,4,30.6254805765985,-3
116,eMBB,298.084106601904,6.78026487135978,202.552684071659,11,164,1317.7120607658,PF,26,4,27.0985551456276,-3
117,eMBB,310.471241675942,6.50158966679305,91.5260441660142,11,164,1308.68894121287,PF,26,4,28.2246583341765,-3
118,eMBB,283.977359557157,6.59380964429909,88.4335529572035,11,164,1302.34447302192,PF,26,4,25.8161235961052,-3
119,eMBB,288.733588826003,5.75638158875738,105.839423546152,11,164,1285.63904972056,PF,26,4,26.2485080750911,-3
120,eMBB,355.284300025692,5.4665059994421,281.186066551701,11,164,1245.56843069396,PF,26,4,32.2985727296084,-3
121,eMBB,200.061371265419,9.63870822726846,136.545012127646,11,84,1294.02507073825,RR,30,6,18.1873973877654,-4
122,eMBB,209.800283813372,10.445488703973,123.53212109085,11,84,1466.93415657123,RR,30,6,19.0727530739429,-4
123,eMBB,204.235766814084,9.99483299948401,131.117140349512,11,84,1589.92282949248,RR,30,6,18.5668878921894,-4
124,eMBB,183.686376599965,8.75640288560727,139.945975476985,11,84,1513.00262089967,RR,30,6,16.6987615090878,-4
125,eMBB,180.117236235069,8.57105521660335,135.676788567553,11,84,1444.8473451259,RR,30,6,16.3742942031881,-4
