TimeStep,Slice,Throughput_Mbps,Avg_SNR_dB,Avg_Delay_ms,Users,PRB_num,DL_Buffer,Scheduling,TxPower,ant_tilt_deg,user_throughput,CIO
1,eMBB,623.86684364271,16.5468649762266,21.3325774869462,27,200,893.497909721087,WF,33,0,23.1061793941744,-4
2,eMBB,692.457526972867,17.1679051447421,25.4560431092184,27,200,1180.07518844397,RR,33,0,25.6465750730691,-4
3,eMBB,694.724545084202,16.6312658912251,27.749490746255,27,200,1283.54737010199,RR,33,0,25.7305387068223,-4
4,eMBB,705.98739614061,16.6459875436734,25.9811130340087,27,200,1313.57227837878,RR,33,0,26.1476813385411,-4
5,eMBB,666.623190724336,15.3848702540528,29.0701752486182,27,200,1381.6491578377,RR,33,0,24.689747804605,-4
6,eMBB,671.348592032677,16.1809749235897,27.7494106801678,27,200,1440.78555747144,RR,33,0,24.8647626678769,-4
7,eMBB,671.158577003597,16.2903245569584,27.5343339316695,27,200,1435.42172892722,RR,33,0,24.8577250742073,-4
8,eMBB,663.198570676181,15.8325723032718,31.4418930456799,27,200,1408.76527269668,RR,33,0,24.5629100250437,-4
9,eMBB,649.461180834359,15.3827547363875,34.1925381035718,27,200,1386.09997575784,RR,33,0,24.05411780868,-4
10,eMBB,703.384042327509,16.3775371150792,33.1721864174621,27,200,1386.9338318023,RR,33,0,26.0512608269448,-4
11,eMBB,681.563649853958,16.3538121293846,29.58582864983,27,200,1478.74877538965,RR,33,0,25.2430981427392,-4
12,eMBB,655.069270571499,15.5511498918256,36.6383768063165,27,200,1430.77410508649,RR,33,0,24.2618248359815,-4
13,eMBB,667.957362025279,15.95012799284,29.3548762657914,27,200,1374.25368401615,RR,33,0,24.7391615564918,-4
14,eMBB,653.260442031715,15.1886412757313,33.1041878808755,27,200,1420.21169333864,RR,33,0,24.1948311863598,-4
15,eMBB,668.207275751054,16.4627083988957,29.1422817308288,27,200,1419.05779719351,RR,33,0,24.7484176204094,-4
16,eMBB,652.406481763275,15.9519167687894,30.4148350687182,27,200,1401.93940167144,RR,33,0,24.1632030282695,-4
17,eMBB,646.429309482514,15.8706133041077,35.6083869319866,27,200,1357.16649294907,RR,33,0,23.9418262771302,-4
18,eMBB,673.913768378105,16.5153588794559,31.2139204452493,27,200,1401.80024586114,RR,33,0,24.9597691991891,-4
